route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,"NJB","1","",3,"",000000
2,"NJB","10","",3,"",000000
3,"NJB","101","",3,"",000000
4,"NJB","102","",3,"",000000
5,"NJB","105","",3,"",000000
6,"NJB","107","",3,"",000000
7,"NJB","108","",3,"",000000
8,"NJB","109","",3,"",000000
9,"NJB","11","",3,"",000000
10,"NJB","111","",3,"",000000
11,"NJB","112","",3,"",000000
12,"NJB","113","",3,"",000000
13,"NJB","114","",3,"",000000
14,"NJB","115","",3,"",000000
15,"NJB","116","",3,"",000000
16,"NJB","117","",3,"",000000
17,"NJB","119","",3,"",000000
18,"NJB","120","",3,"",000000
19,"NJB","121","",3,"",000000
20,"NJB","122","",3,"",000000
21,"NJB","123","",3,"",000000
22,"NJB","124","",3,"",000000
23,"NJB","125","",3,"",000000
24,"NJB","126","",3,"",000000
25,"NJB","127","",3,"",000000
26,"NJB","128","",3,"",000000
27,"NJB","129","",3,"",000000
28,"NJB","13","",3,"",000000
29,"NJB","130","",3,"",000000
30,"NJB","131","",3,"",000000
31,"NJB","132","",3,"",000000
32,"NJB","133","",3,"",000000
33,"NJB","135","",3,"",000000
34,"NJB","136","",3,"",000000
35,"NJB","137","",3,"",000000
36,"NJB","138","",3,"",000000
37,"NJB","139","",3,"",000000
38,"NJB","14","",3,"",000000
39,"NJB","144","",3,"",000000
40,"NJB","145","",3,"",000000
41,"NJB","148","",3,"",000000
42,"NJB","151","",3,"",000000
43,"NJB","153","",3,"",000000
44,"NJB","154","",3,"",000000
45,"NJB","155","",3,"",000000
46,"NJB","156","",3,"",000000
47,"NJB","157","",3,"",000000
48,"NJB","158","",3,"",000000
49,"NJB","159","",3,"",000000
50,"NJB","160","",3,"",000000
51,"NJB","161","",3,"",000000
52,"NJB","162","",3,"",000000
53,"NJB","163","",3,"",000000
54,"NJB","163S","",3,"",000000
55,"NJB","164","",3,"",000000
56,"NJB","165","",3,"",000000
57,"NJB","166","",3,"",000000
58,"NJB","167","",3,"",000000
59,"NJB","168","",3,"",000000
60,"NJB","171","",3,"",000000
61,"NJB","175","",3,"",000000
62,"NJB","177","",3,"",000000
63,"NJB","178","",3,"",000000
64,"NJB","181","",3,"",000000
65,"NJB","182","",3,"",000000
66,"NJB","186","",3,"",000000
67,"NJB","188","",3,"",000000
68,"NJB","190","",3,"",000000
69,"NJB","191","",3,"",000000
70,"NJB","192","",3,"",000000
71,"NJB","193","",3,"",000000
72,"NJB","194","",3,"",000000
73,"NJB","195","",3,"",000000
74,"NJB","196","",3,"",000000
75,"NJB","197","",3,"",000000
76,"NJB","198","",3,"",000000
77,"NJB","199","",3,"",000000
78,"NJB","2","",3,"",000000
79,"NJB","21","",3,"",000000
80,"NJB","22","",3,"",000000
81,"NJB","23","",3,"",000000
82,"NJB","24","",3,"",000000
83,"NJB","25","",3,"",000000
84,"NJB","26","",3,"",000000
85,"NJB","27","",3,"",000000
86,"NJB","28","",3,"",000000
87,"NJB","29","",3,"",000000
88,"NJB","30","",3,"",000000
