YEAR,MONTH,CANCEL_COUNT
2017,APRIL,40
2017,AUGUST,70
2017,DECEMBER,61
2017,FEBRUARY,39
2017,JANUARY,56
2017,JULY,47
2017,JUNE,55
2017,MARCH,26
2017,MAY,67
2017,NOVEMBER,68
2017,OCTOBER,34
2017,SEPTEMBER,43
2018,APRIL,50
2018,AUGUST,66
2018,DECEMBER,75
2018,FEBRUARY,57
2018,JANUARY,67
2018,JULY,53
2018,JUNE,63
2018,MARCH,52
2018,MAY,52
2018,NOVEMBER,62
2018,OCTOBER,70
2018,SEPTEMBER,57
2019,APRIL,37
2019,AUGUST,41
2019,DECEMBER,48
2019,FEBRUARY,60
2019,JANUARY,55
2019,JULY,91
2019,JUNE,42
2019,MARCH,35
2019,MAY,36
2019,NOVEMBER,38
2019,OCTOBER,48
2019,SEPTEMBER,43
2020,APRIL,13
2020,AUGUST,74
2020,DECEMBER,104
2020,FEBRUARY,43
2020,JANUARY,75
2020,JULY,81
2020,JUNE,14
2020,MARCH,45
2020,MAY,18
2020,NOVEMBER,83
2020,OCTOBER,64
2020,SEPTEMBER,65
2021,APRIL,92
2021,AUGUST,99
2021,DECEMBER,99
2021,FEBRUARY,90
2021,JANUARY,121
2021,JULY,109
2021,JUNE,112
2021,MARCH,82
2021,MAY,96
2021,NOVEMBER,105
2021,OCTOBER,106
2021,SEPTEMBER,87
2022,APRIL,73
2022,AUGUST,144
2022,DECEMBER,103
2022,FEBRUARY,105
2022,JANUARY,126
2022,JULY,143
2022,JUNE,106
2022,MARCH,76
2022,MAY,80
2022,NOVEMBER,64
2022,OCTOBER,120
2022,SEPTEMBER,111
2023,APRIL,57
2023,AUGUST,102
2023,DECEMBER,109
2023,FEBRUARY,67
2023,JANUARY,74
2023,JULY,126
2023,JUNE,76
2023,MARCH,89
2023,MAY,72
2023,NOVEMBER,149
2023,OCTOBER,118
2023,SEPTEMBER,113
2024,APRIL,121
2024,AUGUST,143
2024,FEBRUARY,106
2024,JANUARY,121
2024,JULY,177
2024,JUNE,142
2024,MARCH,100
2024,MAY,102
