YEAR,MONTH,LINE,MDBF
2017,January,Hudson-Bergen Light Rail,29599
2017,January,River Line,9362
2017,January,Newark Light Rail,8219
2017,February,Newark Light Rail,7164
2017,February,Hudson-Bergen Light Rail,28081
2017,February,River Line,9829
2017,March,Hudson-Bergen Light Rail,27048
2017,March,Newark Light Rail,8026
2017,March,River Line,9630
2017,April,Hudson-Bergen Light Rail,25543
2017,April,Newark Light Rail,7849
2017,April,River Line,9377
2017,May,Hudson-Bergen Light Rail,25302
2017,May,Newark Light Rail,7641
2017,May,River Line,9195
2017,June,Newark Light Rail,7389
2017,June,Hudson-Bergen Light Rail,21724
2017,June,River Line,8911
2017,July,Hudson-Bergen Light Rail,25827
2017,July,River Line,8806
2017,July,Newark Light Rail,7322
2017,August,Newark Light Rail,7106
2017,August,Hudson-Bergen Light Rail,24835
2017,August,River Line,8664
2017,September,Hudson-Bergen Light Rail,24961
2017,September,Newark Light Rail,7842
2017,September,River Line,8878
2017,October,Hudson-Bergen Light Rail,23172
2017,October,River Line,8371
2017,October,Newark Light Rail,8618
2017,November,Hudson-Bergen Light Rail,22141
2017,November,River Line,8058
2017,November,Newark Light Rail,8976
2017,December,Newark Light Rail,9349
2017,December,River Line,8064
2017,December,Hudson-Bergen Light Rail,21869
2018,January,Hudson-Bergen Light Rail,21203
2018,January,River Line,7653
2018,January,Newark Light Rail,9285
2018,February,Newark Light Rail,9542
2018,February,Hudson-Bergen Light Rail,21082
2018,February,River Line,8093
2018,March,Hudson-Bergen Light Rail,20081
2018,March,Newark Light Rail,10069
2018,March,River Line,7929
2018,April,Hudson-Bergen Light Rail,19573
2018,April,Newark Light Rail,9461
2018,April,River Line,7888
2018,May,Hudson-Bergen Light Rail,19153
2018,May,Newark Light Rail,9150
2018,May,River Line,7693
2018,June,Newark Light Rail,9188
2018,June,Hudson-Bergen Light Rail,19470
2018,June,River Line,7618
2018,July,Hudson-Bergen Light Rail,18555
2018,July,River Line,7504
2018,July,Newark Light Rail,9111
2018,August,Newark Light Rail,9104
2018,August,Hudson-Bergen Light Rail,17807
2018,August,River Line,7317
2018,September,Hudson-Bergen Light Rail,17786
2018,September,Newark Light Rail,8771
2018,September,River Line,7093
2018,October,Hudson-Bergen Light Rail,17940
2018,October,River Line,6926
2018,October,Newark Light Rail,8712
2018,November,Hudson-Bergen Light Rail,18305
2018,November,River Line,6922
2018,November,Newark Light Rail,8498
2018,December,Newark Light Rail,8342
2018,December,River Line,6739
2018,December,Hudson-Bergen Light Rail,18225
2019,January,Newark Light Rail,8124
2019,January,River Line,6643
2019,January,Hudson-Bergen Light Rail,17717
2019,February,Newark Light Rail,7940
2019,February,River Line,6509
2019,February,Hudson-Bergen Light Rail,17872
2019,March,Newark Light Rail,7767
2019,March,Hudson-Bergen Light Rail,18062
2019,March,River Line,6616
2019,April,Newark Light Rail,7518
2019,April,Hudson-Bergen Light Rail,18032
2019,April,River Line,6685
2019,May,River Line,6423
2019,May,Newark Light Rail,7525
2019,May,Hudson-Bergen Light Rail,18047
2019,June,Newark Light Rail,7390
2019,June,River Line,6286
2019,June,Hudson-Bergen Light Rail,18260
2019,July,River Line,5984
2019,July,Hudson-Bergen Light Rail,18841
2019,July,Newark Light Rail,6493
2019,August,Hudson-Bergen Light Rail,19329
2019,August,Newark Light Rail,5959
2019,August,River Line,5834
2019,September,Newark Light Rail,6323
2019,September,Hudson-Bergen Light Rail,19397
2019,September,River Line,5613
2019,October,Hudson-Bergen Light Rail,23575
2019,October,River Line,5606
2019,October,Newark Light Rail,6150
2019,November,Newark Light Rail,5872
2019,November,Hudson-Bergen Light Rail,25670
2019,November,River Line,5909
2019,December,Newark Light Rail,5408
2019,December,Hudson-Bergen Light Rail,26461
2019,December,River Line,6284
2020,January,Hudson-Bergen Light Rail,28322
2020,January,Newark Light Rail,5368
2020,January,River Line,8254
2020,February,River Line,8925
2020,February,Hudson-Bergen Light Rail,29475
