YEAR,MONTH,MDBF
2017,January,83609
2017,February,84826
2017,March,87026
2017,April,87172
2017,May,83826
2017,June,84936
2017,July,84069
2017,August,81472
2017,September,81337
2017,October,83800
2017,November,83720
2017,December,82929
2018,January,80711
2018,February,80309
2018,March,77686
2018,April,76108
2018,May,76487
2018,June,74776
2018,July,74107
2018,August,74238
2018,September,72424
2018,October,70679
2018,November,69908
2018,December,67997
2019,January,69249
2019,February,68717
2019,March,69344
2019,April,70258
2019,May,71342
2019,June,72930
2019,July,72788
2019,August,75030
2019,September,76712
2019,October,79134
2019,November,81181
2019,December,83301
2020,January,84741
2020,February,86792
2020,March,88881
2020,April,91313
2020,May,92406
2020,June,94969
2020,July,93809
2020,August,90718
2020,September,89016
2020,October,87817
2020,November,85702
2020,December,84451
2021,January,86531
2021,February,84529
2021,March,84772
2021,April,81931
2021,May,81101
2021,June,78300
2021,July,80232
2021,August,80333
2021,September,79307
2021,October,76783
2021,November,75824
2021,December,76713
2022,January,73523
2022,February,72516
2022,March,71219
2022,April,69751
2022,May,68454
2022,June,69949
2022,July,67808
2022,August,65832
2022,September,66170
2022,October,65389
2022,November,66636
2022,December,66090
2023,January,67726
2023,February,69991
2023,March,69800
2023,April,70994
2023,May,71685
2023,June,70712
2023,July,71148
2023,August,73920
2023,September,71966
2023,October,73504
2023,November,70708
2023,December,69102
2024,January,66050
2024,February,62852
2024,March,60634
2024,April,59813
2024,May,58571
2024,June,55317
2024,July,53024
2024,August,49833
2024,September,49378
