OTP_YEAR,OTP_MONTH,OTP,TOTAL_TRIPS,TOTAL_LATES
2009,January,92.8,34119,2464
2009,February,92.8,31932,2300
2009,March,92.2,34065,2645
2009,April,92.8,35134,2524
2009,May,92.8,32451,2349
2009,June,94.8,34731,1810
2009,July,94.1,34596,2040
2009,August,94.4,33953,1890
2009,September,93,34198,2398
2009,October,94.6,36034,1939
2009,November,94,31922,1900
2009,December,93.6,35554,2293
2010,January,94.8,31860,1658
2010,February,94.2,30838,1788
2010,March,94.2,36856,2123
2010,April,95.5,35416,1602
2010,May,93.1,32724,2265
2010,June,92.9,35452,2505
2010,July,95.7,35807,1529
2010,August,93.7,36008,2275
2010,September,92,34485,2775
2010,October,93.3,34281,2300
2010,November,93.3,30134,2012
2010,December,89.5,32670,3415
2011,January,92.7,35596,2586
2011,February,93.5,35753,2309
2011,March,93.6,40794,2594
2011,April,93.5,36459,2369
2011,May,92,37994,3039
2011,June,91.9,39329,3187
2011,July,92,39012,3115
2011,August,92.7,41159,3013
2011,September,90.7,37957,3514
2011,October,90.9,37985,3462
2011,November,90.2,37856,3702
2011,December,90.5,37988,3627
2012,January,92.5,37581,2801
2012,February,92.1,35699,2837
2012,March,92,39362,3144
2012,April,91.2,37058,3258
2012,May,90.4,39230,3770
2012,June,89.6,37543,3917
2012,July,90.9,38689,3508
2012,August,91.8,40832,3357
2012,September,91.1,34951,3112
2012,October,90,35519,3565
2012,November,85.2,34437,5105
2012,December,90,35244,3539
2013,January,92.7,37104,2700
2013,February,91.8,32869,2691
2013,March,91.5,37198,3158
2013,April,91.1,38789,3446
2013,May,90.9,39054,3554
2013,June,90.1,35879,3543
2013,July,91,39531,3566
2013,August,90.4,39259,3775
2013,September,90,36276,3640
2013,October,90.7,41036,3826
2013,November,92.2,35988,2790
2013,December,89.9,37535,3792
2014,January,90.7,42076,3896
2014,February,89.5,39603,4160
2014,March,90.7,41770,3903
2014,April,91.1,43115,3844
2014,May,91,40982,3698
2014,June,91.3,41740,3620
2014,July,90.6,43556,4080
2014,August,90.8,42273,3871
2014,September,90.1,43270,4272
2014,October,93.7,45337,2847
