YEAR,MONTH,OTP
2017,January,97.0
2017,February,96.0
2017,March,96.2
2017,April,95.9
2017,May,97.3
2017,June,97.2
2017,July,96.8
2017,August,96.9
2017,September,97.1
2017,October,97.2
2017,November,97.6
2017,December,96.9
2018,January,95.2
2018,February,97.8
2018,March,95.6
2018,April,95.4
2018,May,96.8
2018,June,97.1
2018,July,97.1
2018,August,96.9
2018,September,96.5
2018,October,97.0
2018,November,96.3
2018,December,95.8
2019,January,95.7
2019,February,96.3
2019,March,98.0
2019,April,97.3
2019,May,96.1
2019,June,96.2
2019,July,95.9
2019,August,96.0
2019,September,97.6
2019,October,97.5
2019,November,97.9
2019,December,97.7
2020,January,97.7
2020,February,97.2
2020,March,97.1
2020,April,98.5
2020,May,98.7
2020,June,98.5
2020,July,97.3
2020,August,98.2
2020,September,97.5
2020,October,97.4
2020,November,97.0
2020,December,97.7
2021,January,97.5
2021,February,95.6
2021,March,97.2
2021,April,96.2
2021,May,96.3
2021,June,95.9
2021,July,96.3
2021,August,97.5
2021,September,96.8
2021,October,96.8
2021,November,95.8
2021,December,97.6
2022,January,96.0
2022,February,95.0
2022,March,95.7
2022,April,97.3
2022,May,95.8
2022,June,95.0
2022,July,93.5
2022,August,93.5
2022,September,94.9
2022,October,94.8
2022,November,96.3
2022,December,94.6
2023,January,96.7
2023,February,96.8
2023,March,96.5
2023,April,96.3
2023,May,96.8
2023,June,96.5
2023,July,93.1
2023,August,92.5
2023,September,93.3
2023,October,95.7
2023,November,96.2
2023,December,95.5
2024,January,95.6
2024,February,95.5
2024,March,92.9
2024,April,93.2
2024,May,92.7
2024,June,90.0
2024,July,86.5
2024,August,92.9
