YEAR,MONTH,STATUS,COUNT,TOTAL,PERCENTAGE
2017,JANUARY,On Time,17036,18271,93.2
2017,FEBRUARY,On Time,15596,16765,93.0
2017,MARCH,On Time,17204,18398,93.5
2017,APRIL,On Time,14974,17188,87.1
2017,MAY,On Time,16096,18525,86.9
2017,JUNE,On Time,15854,18186,87.2
2017,JULY,On Time,16635,17948,92.7
2017,AUGUST,On Time,17604,18866,93.3
2017,SEPTEMBER,On Time,16182,17518,92.4
2017,OCTOBER,On Time,16956,18630,91.0
2017,NOVEMBER,On Time,16801,18179,92.4
2017,DECEMBER,On Time,16458,18226,90.3
2018,JANUARY,On Time,16259,18576,87.5
2018,FEBRUARY,On Time,15949,16767,95.1
2018,MARCH,On Time,16182,18357,88.2
2018,APRIL,On Time,16793,18120,92.7
2018,MAY,On Time,17288,18844,91.7
2018,JUNE,On Time,16579,17920,92.5
2018,JULY,On Time,16577,18364,90.3
2018,AUGUST,On Time,17048,18963,89.9
2018,SEPTEMBER,On Time,15221,16696,91.2
2018,OCTOBER,On Time,15689,17775,88.3
2018,NOVEMBER,On Time,13608,16563,82.2
2018,DECEMBER,On Time,14826,16481,90.0
2019,JANUARY,On Time,15085,16918,89.2
2019,FEBRUARY,On Time,13556,15274,88.8
2019,MARCH,On Time,15717,16829,93.4
2019,APRIL,On Time,15776,16822,93.8
2019,MAY,On Time,16453,17661,93.2
2019,JUNE,On Time,15230,16923,90.0
2019,JULY,On Time,15537,17801,87.3
2019,AUGUST,On Time,16336,17747,92.0
2019,SEPTEMBER,On Time,15556,16900,92.0
2019,OCTOBER,On Time,16605,18227,91.1
2019,NOVEMBER,On Time,15118,16949,89.2
2019,DECEMBER,On Time,16040,17568,91.3
2020,JANUARY,On Time,16426,17675,92.9
2020,FEBRUARY,On Time,15170,16285,93.2
2020,MARCH,On Time,15063,15926,94.6
2020,APRIL,On Time,11701,12226,95.7
2020,MAY,On Time,11835,12351,95.8
2020,JUNE,On Time,11742,12153,96.6
2020,JULY,On Time,15714,17378,90.4
2020,AUGUST,On Time,14592,16297,89.5
2020,SEPTEMBER,On Time,16162,16808,96.2
2020,OCTOBER,On Time,16743,17504,95.7
2020,NOVEMBER,On Time,15138,16357,92.5
2020,DECEMBER,On Time,15538,16865,92.1
2021,JANUARY,On Time,15558,16573,93.9
2021,FEBRUARY,On Time,13088,14261,91.8
2021,MARCH,On Time,16639,17730,93.8
2021,APRIL,On Time,16186,17076,94.8
2021,MAY,On Time,15863,16794,94.5
2021,JUNE,On Time,16457,17557,93.7
2021,JULY,On Time,16497,17805,92.7
2021,AUGUST,On Time,16741,18036,92.8
2021,SEPTEMBER,On Time,14747,16554,89.1
2021,OCTOBER,On Time,16231,17598,92.2
2021,NOVEMBER,On Time,15559,17363,89.6
2021,DECEMBER,On Time,17366,18537,93.7
2022,JANUARY,On Time,16655,17908,93.0
2022,FEBRUARY,On Time,15372,16512,93.1
2022,MARCH,On Time,17066,18334,93.1
2022,APRIL,On Time,16811,17734,94.8
2022,MAY,On Time,16865,18178,92.8
2022,JUNE,On Time,16764,18129,92.5
2022,JULY,On Time,16760,18101,92.6
2022,AUGUST,On Time,17326,18928,91.5
2022,SEPTEMBER,On Time,16504,17881,92.3
2022,OCTOBER,On Time,16588,18112,91.6
2022,NOVEMBER,On Time,16051,17630,91.0
2022,DECEMBER,On Time,16911,18316,92.3
2023,JANUARY,On Time,17158,18053,95.0
2023,FEBRUARY,On Time,15310,16544,92.5
2023,MARCH,On Time,17183,18753,91.6
2023,APRIL,On Time,16201,17408,93.1
2023,MAY,On Time,16802,18464,91.0
2023,JUNE,On Time,16387,18130,90.4
2023,JULY,On Time,16164,18171,89.0
2023,AUGUST,On Time,17252,18983,90.9
2023,SEPTEMBER,On Time,15686,17687,88.7
2023,OCTOBER,On Time,16754,18583,90.2
2023,NOVEMBER,On Time,16196,17696,91.5
2023,DECEMBER,On Time,16238,17921,90.6
2024,JANUARY,On Time,16452,18404,89.4
2024,FEBRUARY,On Time,15971,17313,92.2
2024,MARCH,On Time,17070,18346,93.0
2024,APRIL,On Time,16501,18202,90.7
2024,MAY,On Time,16616,18564,89.5
2024,JUNE,On Time,14666,17626,83.2
2024,JULY,On Time,16486,18772,87.8
2024,AUGUST,On Time,16273,18691,87.1
