Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
110498,04000678__,0.18,39.843864,-75.01911,4,431,Camden,Somerdale Boro,9606,5134,4472,01/01/2012,Volume 48hrs,East/West
1-8-773,19081007__,0.06,40.95183073,-74.78969748,19,1908,Sussex,Green Twp,1187,615,572,01/01/2012,Volume 48hrs,East/West
1103c5,00000295__,53.12,40.09266737,-74.75254129,3,318,Burlington,Mansfield Twp,87805,45012,42793,01/01/2012,Volume 48hrs,North/South
1-8-697,21000621__,6.11,40.76949011,-75.17236313,21,2110,Warren,Harmony Twp,159,73,86,01/01/2012,Classification 48hrs,North/South
091201,00000501__,1.23,40.54318002,-74.40434401,12,1205,Middlesex,Edison Twp,20142,10754,9388,01/01/2012,Volume 48hrs,North/South
1-8-770,19071016__,1.42,41.04263367,-74.81077693,19,1907,Sussex,Fredon Twp,449,217,232,01/01/2012,Volume 48hrs,North/South
121351,13000022__,0.37,40.30325,-74.3498194,13,1326,Monmouth,Manalapan Twp,10597,5391,5206,01/01/2012,Volume 48hrs,East/West
2-4-501,09000678__,1.01,40.76685179,-74.05565004,9,908,Hudson,North Bergen Twp,14443,7074,7369,01/01/2012,Volume 48hrs,North/South
100501,00000052__,1.19,39.297542,-74.589807,5,508,Cape May,Ocean City,14293,6189,8104,01/01/2012,Volume 48hrs,North/South
1-8-784,19101006__,0.18,41.1032432,-74.76981386,19,1910,Sussex,Hampton Twp,705,390,315,01/01/2012,Volume 48hrs,North/South
100309,00000295__,43.94,39.99847004,-74.86408739,3,337,Burlington,Westampton Twp,110949,56512,54437,01/01/2012,Volume 48hrs,North/South
2-4-618,02341037__,0.14,40.90646989,-74.05631816,2,234,Bergen,Maywood Boro,688,323,365,01/01/2012,Volume 48hrs,North/South
121367,13000049__,0.57,40.1291417,-74.0357722,13,1344,Monmouth,Sea Girt Boro,4954,2171,2783,01/01/2012,Volume 48hrs,East/West
1-8-796,19141008__,1.13,41.33230297,-74.69820475,19,1914,Sussex,Montague Twp,165,77,88,01/01/2012,Volume 48hrs,North/South
110510,05000619__,2.97,39.049006,-74.765353,5,510,Cape May,Stone Harbor Boro,1303,552,751,01/01/2012,Volume 48hrs,North/South
2-4-217,00000202__,71.86,41.02022003,-74.24678702,2,242,Bergen,Oakland Boro,13541,5902,7639,01/01/2012,Classification 48hrs,North/South
112059,20000643__,0.82,40.68864,-74.35269,20,2010,Union,Mountainside Boro,7976,4041,3935,01/01/2012,Volume 48hrs,North/South
2-4-318,00000004__,8.24,40.88590786,-73.99254879,2,260,Bergen,Teaneck Twp,92844,47831,45013,01/01/2012,Classification 48hrs,East/West
112061,20000645__,0.31,40.66938,-74.35521,20,2010,Union,Mountainside Boro,11183,6101,5082,01/01/2012,Volume 48hrs,North/South
1-8-712,21000608__,4.31,40.97578286,-74.91544006,21,2106,Warren,Frelinghuysen Twp,751,381,370,01/01/2012,Volume 48hrs,North/South
112062,20000645__,2.72,40.68881,-74.37287,20,2010,Union,Mountainside Boro,3230,1488,1742,01/01/2012,Volume 48hrs,North/South
2-4-603,020000921_,0.21,41.01169167,-74.02427778,2,227,Bergen,Hillsdale Boro,3797,1850,1947,01/01/2012,Classification 48hrs,North/South
121368,13000050__,3.22,40.3493528,-74.1270306,13,1331,Monmouth,Middletown Twp,11339,5797,5542,01/01/2012,Volume 48hrs,North/South
1-8-710,21000615__,1.49,40.93261881,-74.83292871,21,2101,Warren,Allamuchy Twp,1063,536,527,01/01/2012,Volume 48hrs,East/West
121371,13000051__,2.31,40.3074611,-74.0805611,13,1336,Monmouth,Tinton Falls Boro,12439,6694,5745,01/01/2012,Volume 48hrs,North/South
1-8-776,19081037__,0.99,40.98643667,-74.79872456,19,1908,Sussex,Green Twp,893,458,435,01/01/2012,Volume 48hrs,East/West
1-4-226,00000202__,53.57,40.89347202,-74.41044403,14,1429,Morris,Parsippany-Troy Hills Twp,3965,2578,1387,01/01/2012,Volume 48hrs,North/South
2-4-646,14161047__,0.83,40.90985298,-74.28639487,14,1416,Morris,Lincoln Park Boro,1100,554,546,01/01/2012,Classification 48hrs,East/West
110522,05000625__,1.95,39.161113,-74.704657,5,504,Cape May,Dennis Twp,5743,2840,2903,01/01/2012,Volume 48hrs,East/West
1-8-740,21151090__,0.03,40.70778257,-75.16795004,21,2115,Warren,Lopatcong Twp,881,431,450,01/01/2012,Volume 48hrs,East/West
1-4-230,00000046__,33.97,40.87925998,-74.63883077,14,1436,Morris,Roxbury Twp,15489,7189,8300,01/01/2012,Classification 48hrs,East/West
1-8-700,21000617__,0.17,40.8347533,-75.00674572,21,2123,Warren,White Twp,1228,767,461,01/01/2012,Volume 48hrs,North/South
1-4-305,00000031__,42.35,40.75242965,-74.97602302,21,2122,Warren,Washington Twp,16874,8093,8781,01/01/2012,Volume 48hrs,North/South
