      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
      2017,APRIL          ,AMTRAK                                                      ,         391,         525,             74.5
      2017,APRIL          ,Carryover/Other                                             ,          54,         525,             10.3
      2017,APRIL          ,Crew/Engineer Availability                                  ,          10,         525,              1.9
      2017,APRIL          ,Equipment Availability                                      ,           3,         525,               .6
      2017,APRIL          ,Human Factor                                                ,           7,         525,              1.3
      2017,APRIL          ,Infrastructure Engineering                                  ,           3,         525,               .6
      2017,APRIL          ,Mechanical                                                  ,          40,         525,              7.6
      2017,APRIL          ,Other                                                       ,           3,         525,               .6
      2017,APRIL          ,Other Railroads                                             ,           6,         525,              1.1
      2017,APRIL          ,Unpreventable                                               ,           8,         525,              1.5
      2017,AUGUST         ,AMTRAK                                                      ,          19,         413,              4.6
      2017,AUGUST         ,Crew/Engineer Availability                                  ,         243,         413,             58.8
      2017,AUGUST         ,Equipment Availability                                      ,          13,         413,              3.1
      2017,AUGUST         ,Human Factor                                                ,           7,         413,              1.7
      2017,AUGUST         ,Infrastructure Engineering                                  ,          54,         413,             13.1
      2017,AUGUST         ,Mechanical                                                  ,          70,         413,             16.9
      2017,AUGUST         ,Other                                                       ,           1,         413,               .2
      2017,AUGUST         ,Other Railroads                                             ,           2,         413,               .5
      2017,AUGUST         ,Unpreventable                                               ,           4,         413,                1
      2017,DECEMBER       ,AMTRAK                                                      ,          15,         309,              4.9
      2017,DECEMBER       ,Crew/Engineer Availability                                  ,          98,         309,             31.7
      2017,DECEMBER       ,Equipment Availability                                      ,          34,         309,               11
      2017,DECEMBER       ,Human Factor                                                ,          19,         309,              6.1
      2017,DECEMBER       ,Infrastructure Engineering                                  ,          13,         309,              4.2
      2017,DECEMBER       ,Mechanical                                                  ,          61,         309,             19.7
      2017,DECEMBER       ,Other Railroads                                             ,          32,         309,             10.4
      2017,DECEMBER       ,Unpreventable                                               ,          37,         309,               12
      2017,FEBRUARY       ,AMTRAK                                                      ,          18,         169,             10.7
      2017,FEBRUARY       ,Carryover/Other                                             ,           3,         169,              1.8
      2017,FEBRUARY       ,Crew/Engineer Availability                                  ,          17,         169,             10.1
      2017,FEBRUARY       ,Equipment Availability                                      ,           8,         169,              4.7
      2017,FEBRUARY       ,Human Factor                                                ,          22,         169,               13
      2017,FEBRUARY       ,Mechanical                                                  ,          39,         169,             23.1
      2017,FEBRUARY       ,Unpreventable                                               ,          62,         169,             36.7
      2017,JANUARY        ,AMTRAK                                                      ,          94,         207,             45.4
      2017,JANUARY        ,Crew/Engineer Availability                                  ,           2,         207,                1
      2017,JANUARY        ,Equipment Availability                                      ,           1,         207,               .5
      2017,JANUARY        ,Human Factor                                                ,           8,         207,              3.9
      2017,JANUARY        ,Mechanical                                                  ,          56,         207,             27.1
      2017,JANUARY        ,Other                                                       ,           1,         207,               .5
      2017,JANUARY        ,Other Railroads                                             ,          31,         207,               15
      2017,JANUARY        ,Unpreventable                                               ,          14,         207,              6.8
      2017,JULY           ,AMTRAK                                                      ,          39,         354,               11
      2017,JULY           ,Carryover/Other                                             ,          12,         354,              3.4
      2017,JULY           ,Crew/Engineer Availability                                  ,         127,         354,             35.9
      2017,JULY           ,Equipment Availability                                      ,           2,         354,               .6
      2017,JULY           ,Human Factor                                                ,           8,         354,              2.3
      2017,JULY           ,Infrastructure Engineering                                  ,          93,         354,             26.3
      2017,JULY           ,Mechanical                                                  ,          47,         354,             13.3
      2017,JULY           ,Other Railroads                                             ,           7,         354,                2
      2017,JULY           ,Unpreventable                                               ,          19,         354,              5.4
      2017,JUNE           ,AMTRAK                                                      ,           4,         139,              2.9
      2017,JUNE           ,Crew/Engineer Availability                                  ,          39,         139,             28.1
      2017,JUNE           ,Equipment Availability                                      ,           3,         139,              2.2
      2017,JUNE           ,Human Factor                                                ,          15,         139,             10.8
      2017,JUNE           ,Infrastructure Engineering                                  ,           1,         139,               .7
      2017,JUNE           ,Mechanical                                                  ,          55,         139,             39.6
      2017,JUNE           ,Other Railroads                                             ,           3,         139,              2.2
      2017,JUNE           ,Unpreventable                                               ,          19,         139,             13.7
      2017,MARCH          ,AMTRAK                                                      ,         205,         308,             66.6
      2017,MARCH          ,Crew/Engineer Availability                                  ,          20,         308,              6.5
      2017,MARCH          ,Equipment Availability                                      ,           2,         308,               .6
      2017,MARCH          ,Human Factor                                                ,           7,         308,              2.3
      2017,MARCH          ,Infrastructure Engineering                                  ,           3,         308,                1
      2017,MARCH          ,Mechanical                                                  ,          26,         308,              8.4
      2017,MARCH          ,Other                                                       ,           6,         308,              1.9
      2017,MARCH          ,Unpreventable                                               ,          39,         308,             12.7
      2017,MAY            ,AMTRAK                                                      ,           4,         146,              2.7
      2017,MAY            ,Crew/Engineer Availability                                  ,          46,         146,             31.5
      2017,MAY            ,Human Factor                                                ,           5,         146,              3.4
      2017,MAY            ,Infrastructure Engineering                                  ,           1,         146,               .7
      2017,MAY            ,Mechanical                                                  ,          67,         146,             45.9
      2017,MAY            ,Other Railroads                                             ,           2,         146,              1.4
      2017,MAY            ,Unpreventable                                               ,          21,         146,             14.4
      2017,NOVEMBER       ,AMTRAK                                                      ,          10,         179,              5.6
      2017,NOVEMBER       ,Carryover/Other                                             ,           4,         179,              2.2
      2017,NOVEMBER       ,Crew/Engineer Availability                                  ,          49,         179,             27.4
      2017,NOVEMBER       ,Equipment Availability                                      ,          13,         179,              7.3
      2017,NOVEMBER       ,Human Factor                                                ,          13,         179,              7.3
      2017,NOVEMBER       ,Infrastructure Engineering                                  ,           5,         179,              2.8
